GEO;AGE;Year;Sex;PovertyRate
European Union - 27 countries (2007-2013);From 25 to 29 years;2014;Males;
European Union - 27 countries (2007-2013);From 25 to 34 years;2014;Males;
European Union - 27 countries (2007-2013);From 25 to 49 years;2014;Males;
European Union - 27 countries (2007-2013);From 25 to 54 years;2014;Males;
European Union - 27 countries (2007-2013);From 25 to 59 years;2014;Males;
European Union - 27 countries (2007-2013);From 35 to 44 years;2014;Males;
European Union - 27 countries (2007-2013);From 45 to 54 years;2014;Males;
European Union - 27 countries (2007-2013);From 50 to 64 years;2014;Males;
European Union - 27 countries (2007-2013);From 55 to 64 years;2014;Males;
European Union - 27 countries (2007-2013);55 years or over;2014;Males;
European Union - 27 countries (2007-2013);Less than 60 years;2014;Males;
European Union - 27 countries (2007-2013);60 years or over;2014;Males;
European Union - 27 countries (2007-2013);Less than 65 years;2014;Males;
European Union - 27 countries (2007-2013);From 65 to 74 years;2014;Males;
European Union - 27 countries (2007-2013);65 years or over;2014;Males;
European Union - 27 countries (2007-2013);Less than 75 years;2014;Males;
European Union - 27 countries (2007-2013);75 years or over;2014;Males;
European Union - 27 countries (2007-2013);85 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 6 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 6 to 10 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 6 to 11 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 11 to 15 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 12 to 17 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 15 to 19 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 15 to 24 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 15 to 29 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 16 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 16 to 19 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 16 to 24 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 16 to 29 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 16 to 64 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);16 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 18 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 18 to 24 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 18 to 59 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 18 to 64 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 18 to 74 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);18 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 20 to 24 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 20 to 29 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 25 to 29 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 25 to 34 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 25 to 49 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 25 to 54 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 25 to 59 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 35 to 44 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 45 to 54 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 50 to 64 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 55 to 64 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);55 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 60 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);60 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 65 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);From 65 to 74 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);65 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Less than 75 years;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);75 years or over;2014;Males;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);85 years or over;2014;Males;
Euro area – 20 countries (from 2023);Less than 6 years;2014;Males;
Euro area – 20 countries (from 2023);From 6 to 10 years;2014;Males;
Euro area – 20 countries (from 2023);From 6 to 11 years;2014;Males;
Euro area – 20 countries (from 2023);From 11 to 15 years;2014;Males;
Euro area – 20 countries (from 2023);From 12 to 17 years;2014;Males;
Euro area – 20 countries (from 2023);From 15 to 19 years;2014;Males;
Euro area – 20 countries (from 2023);From 15 to 24 years;2014;Males;
Euro area – 20 countries (from 2023);From 15 to 29 years;2014;Males;
Euro area – 20 countries (from 2023);Less than 16 years;2014;Males;
Euro area – 20 countries (from 2023);From 16 to 19 years;2014;Males;
Euro area – 20 countries (from 2023);From 16 to 24 years;2014;Males;
Euro area – 20 countries (from 2023);From 16 to 29 years;2014;Males;
Euro area – 20 countries (from 2023);From 16 to 64 years;2014;Males;
Euro area – 20 countries (from 2023);16 years or over;2014;Males;
Euro area – 20 countries (from 2023);Less than 18 years;2014;Males;
Euro area – 20 countries (from 2023);From 18 to 24 years;2014;Males;
Euro area – 20 countries (from 2023);From 18 to 59 years;2014;Males;
Euro area – 20 countries (from 2023);From 18 to 64 years;2014;Males;
Euro area – 20 countries (from 2023);From 18 to 74 years;2014;Males;
Euro area – 20 countries (from 2023);18 years or over;2014;Males;
Euro area – 20 countries (from 2023);From 20 to 24 years;2014;Males;
Euro area – 20 countries (from 2023);From 20 to 29 years;2014;Males;
Euro area – 20 countries (from 2023);From 25 to 29 years;2014;Males;
Euro area – 20 countries (from 2023);From 25 to 34 years;2014;Males;
Euro area – 20 countries (from 2023);From 25 to 49 years;2014;Males;
Euro area – 20 countries (from 2023);From 25 to 54 years;2014;Males;
Euro area – 20 countries (from 2023);From 25 to 59 years;2014;Males;
Euro area – 20 countries (from 2023);From 35 to 44 years;2014;Males;
Euro area – 20 countries (from 2023);From 45 to 54 years;2014;Males;
Euro area – 20 countries (from 2023);From 50 to 64 years;2014;Males;
Euro area – 20 countries (from 2023);From 55 to 64 years;2014;Males;
Euro area – 20 countries (from 2023);55 years or over;2014;Males;
Euro area – 20 countries (from 2023);Less than 60 years;2014;Males;
Euro area – 20 countries (from 2023);60 years or over;2014;Males;
Euro area – 20 countries (from 2023);Less than 65 years;2014;Males;
Euro area – 20 countries (from 2023);From 65 to 74 years;2014;Males;
Euro area – 20 countries (from 2023);65 years or over;2014;Males;
Euro area – 20 countries (from 2023);Less than 75 years;2014;Males;
Euro area – 20 countries (from 2023);75 years or over;2014;Males;
Euro area – 20 countries (from 2023);85 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 6 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 6 to 10 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 6 to 11 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 11 to 15 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 12 to 17 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 15 to 19 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 15 to 24 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 15 to 29 years;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 16 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 16 to 19 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 16 to 24 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 16 to 29 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 16 to 64 years;2014;Males;
Euro area - 19 countries  (2015-2022);16 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 18 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 18 to 24 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 18 to 59 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 18 to 64 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 18 to 74 years;2014;Males;
Euro area - 19 countries  (2015-2022);18 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);From 20 to 24 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 20 to 29 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 25 to 29 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 25 to 34 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 25 to 49 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 25 to 54 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 25 to 59 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 35 to 44 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 45 to 54 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 50 to 64 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 55 to 64 years;2014;Males;
Euro area - 19 countries  (2015-2022);55 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 60 years;2014;Males;
Euro area - 19 countries  (2015-2022);60 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 65 years;2014;Males;
Euro area - 19 countries  (2015-2022);From 65 to 74 years;2014;Males;
Euro area - 19 countries  (2015-2022);65 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);Less than 75 years;2014;Males;
Euro area - 19 countries  (2015-2022);75 years or over;2014;Males;
Euro area - 19 countries  (2015-2022);85 years or over;2014;Males;
Euro area - 18 countries (2014);Less than 6 years;2014;Males;
Euro area - 18 countries (2014);From 6 to 10 years;2014;Males;
Euro area - 18 countries (2014);From 6 to 11 years;2014;Males;
Euro area - 18 countries (2014);From 11 to 15 years;2014;Males;
Euro area - 18 countries (2014);From 12 to 17 years;2014;Males;
Euro area - 18 countries (2014);From 15 to 19 years;2014;Males;
Euro area - 18 countries (2014);From 15 to 24 years;2014;Males;
Euro area - 18 countries (2014);From 15 to 29 years;2014;Males;
Euro area - 18 countries (2014);Less than 16 years;2014;Males;
Euro area - 18 countries (2014);From 16 to 19 years;2014;Males;
Euro area - 18 countries (2014);From 16 to 24 years;2014;Males;
Euro area - 18 countries (2014);From 16 to 29 years;2014;Males;
Euro area - 18 countries (2014);From 16 to 64 years;2014;Males;
Euro area - 18 countries (2014);16 years or over;2014;Males;
Euro area - 18 countries (2014);Less than 18 years;2014;Males;
Euro area - 18 countries (2014);From 18 to 24 years;2014;Males;
Euro area - 18 countries (2014);From 18 to 59 years;2014;Males;
Euro area - 18 countries (2014);From 18 to 64 years;2014;Males;
Euro area - 18 countries (2014);From 18 to 74 years;2014;Males;
Euro area - 18 countries (2014);18 years or over;2014;Males;
Euro area - 18 countries (2014);From 20 to 24 years;2014;Males;
Euro area - 18 countries (2014);From 20 to 29 years;2014;Males;
Euro area - 18 countries (2014);From 25 to 29 years;2014;Males;
Euro area - 18 countries (2014);From 25 to 34 years;2014;Males;
Euro area - 18 countries (2014);From 25 to 49 years;2014;Males;
